ID	VACINAS	SEGUNDO NOME/SIGLA	DOSES	APRESENTADA	COMPOSIÇÃO	ADMINISTRAÇÃO	INDICADA	CONTRA INDICADA	EVENTOS ADVERSOS	EFICÁCIA DA VACINA	
1	Bacilo de Calmette e Guérin	BCG	1	FRASCO-AMPOLA	A vacina é preparada com bacilos vivos, a partir de cepas do Mycobacterium bovis, atenuadas com glutamato de sódio. A subcepa utilizada no Brasil é a Moureau-Rio de Janeiro, mantida sob sistema de lote-semente no Status Serum Institut de Copenhagen, na Dinamarca.	INTRADÉRMICA	Indicada para prevenir as formas graves da tuberculose (miliar e meníngea).	para os usuários a partir dos 5 anos de idade portadores de HIV, mesmo que assintomáticos e sem sinais de imunodeficiência.	Abcessos, úlceras extensas, gânglios flutuantes e fistulizados.	80% nas formas graves	-
2	Vacina adsorvida difteria, tétano e pertussis	DTP	3	FRASCO MULTIDOSE	É composta pela combinação de toxoides purificados de difteria e tétano, suspensão celular inativada de Bordetella pertussis (células inteiras), tendo o hidróxido de alumínio como adjuvante e o timerosal como conservante.	INTRAMUSCULAR	É indicada para a vacinação de crianças menores de 7 anos de idade como dose de reforço do esquema básico da vacina penta.	não deve ser administrada quando a criança apresentar quadro neurológico em atividade ou quando, após dose anterior de vacina com estes componentes, a criança registrar qualquer das seguintes manifestações: • convulsões até 72 horas após a administração da vacina; • colapso circulatório, com estado de choque ou com episódio hipotônico-hiporresponsivo (EHH), até 48 horas após a administração da vacina; • encefalopatia nos primeiros sete dias após a administração da vacina; • usuários a partir de 7 anos de idade.	Eventos locais, febre, irritabilidade, choro prolongado, convulsão, episódio hipotônico hiporresponsivo (EHH)		-
3	Febre Amarela	FA	1	FRASCO COM LIÓFILO E DILUENTE	Composta de vírus vivos atenuados da febre amarela derivados da linhagem 17 DD. Tem como excipientes a sacarose, o glutamato de sódio, o sorbitol, a eritromicina e a canamicina	SUBCUTÂNEA	Para prevenir contra a febre amarela em residentes ou viajantes que se deslocam para as áreas com recomendação de vacinação (ACRV) e países com risco para a doença, a partir dos 9 meses de idade, conforme Calendário Nacional de Vacinação.	para crianças menores de 6 meses de idade; • para o imunodeprimido grave, independentemente do risco de exposição; • portadores de doenças autoimunes (consulte o Manual de EAPV). Precauções • A vacina febre amarela não está indicada para gestantes e mulheres que estejam amamentando, devendo a vacinação ser adiada até a criança completar 6 meses de idade. Na impossibilidade de se adiar a vacinação, deve-se avaliar o benefício pelo risco. Em caso de mulheres que estejam amamentando e receberam a vacina, o aleitamento materno deve ser suspenso preferencialmente por 28 dias após a vacinação (com um mínimo de 15 dias). • Esta vacina também não está indicada para indivíduos com doenças autoimunes ou doença neurológica ou com 60 anos ou mais que serão vacinados pela primeira vez. No entanto, em situação de risco de se contrair a doença, deve-se avaliar o benefício da vacinação. • Existe reação anafilática após a ingestão de ovo de galinha. A vacinação deve ser feita em ambiente hospitalar após avaliação médica.	Febre e eventos locais	95% ou mais	-
4	Hepatite A	-	Varia conforme a idade	FRASCO	Antígeno do vírus da hepatite A. Tem como adjuvante o hidróxido de alumínio e não contém antibióticos. Na dependência da apresentação, pode ter o fenoxietanol como conservante	INTRAMUSCULAR	para a prevenção da infecção causada pelo vírus da hepatite A. O PNI recomenda a vacinação de crianças de 12 meses até menores de 2 anos de idade.	Na presença de história de reação anafilática a algum dos componentes da vacina.	Febre, mal-estar; eventos locais e anafilaxia (raramente)	95% ou mais	-
5	Hepatite B	-	3	FRASCO	Contém o antígeno recombinante de superfície (HBsAg), que é purificado por vários métodos físico-químicos e adsorvido por hidróxido de alumínio, tendo o timerosal como conservante.	INTRAMUSCULAR	Para recém-nascidos, o mais precocemente possível, nas primeiras 24 horas, preferencialmente nas primeiras 12 horas, ainda na maternidade ou na primeira visita ao serviço de saúde, até 30 dias de vida. • Para gestantes em qualquer faixa etária e idade gestacional. • Para a população de 1 a 49 anos de idade. • Para indivíduos integrantes dos grupos vulneráveis, independentemente da faixa etária ou da comprovação da condição de vulnerabilidade: - população indígena; - população de assentamentos e acampamentos; - trabalhadores de saúde; - população reclusa em presídios, hospitais psiquiátricos, instituições de reeducação de menores; - usuários de drogas injetáveis, inaláveis e pipadas; - agentes de segurança atuantes em presídios e delegacias penitenciárias; - doadores de sangue; - potenciais receptores de múltiplas transfusões de sangue ou politransfundidos; - portadores de doenças sexualmente transmissíveis; - caminhoneiros; - comunicantes sexuais de pessoas portadoras do vírus da hepatite B; - prostitutos e prostitutas; - homens e mulheres que mantêm relações sexuais com pessoas do mesmo sexo (HSH e MSM); - lésbicas, gays, bissexuais, travestis e transexuais (LGBTT); - pessoas que convivem continuamente em domicílio com pessoas portadoras do vírus da hepatite B; - vítimas de abuso sexual; - coletadores de lixo hospitalar e domiciliar; 74 Secretaria de Vigilância em Saúde / MS - pessoal vinculado às instituições de defesa, segurança e resgate (forças armadas, polícia militar, civil e rodoviária, corpo de bombeiros); - vítimas de acidentes com material biológico positivo ou fortemente suspeito de contaminação; - manicures, pedicuros e podólogos.	não deve ser administrada quando a criança apresentar quadro neurológico em atividade ou quando, após dose anterior de vacina com estes componentes, a criança registrar qualquer das seguintes manifestações: • Convulsão nas primeiras 72 horas após a administração da vacina. • Episódio hipotônico-hiporresponsivo nas primeiras 48 horas após a administração da vacina. • Encefalopatia aguda grave depois de sete dias após a administração de dose anterior da vacina. • História de choque anafilático após administração de dose anterior da vacina. • Usuários a partir de 7 anos de idade.	Febre, mal-estar; eventos locais e anafilaxia (raramente)	95% ou mais	-
6	Vacina papilomavírus humano 6, 11, 16 e 18	HPV	3	FRASCO-AMPOLA	Vacina quadrivalente recombinante é inativada, constituída por proteínas L1 do HPV tipos 6, 11, 16 e 18. Contém como excipientes o adjuvante sulfato de hidroxifosfato de alumínio amorfo, cloreto de sódio, L-histidina, polissorbato 80, borato de sódio e água para injetáveis.	INTRAMUSCULAR	para jovens do sexo feminino de 9 a 13 anos de idade, para a imunização ativa contra os tipos de HPV 6, 11, 16 e 18, a fim de prevenir contra câncer do colo do útero, vulvar, vaginal e anal, lesões pré-cancerosas ou displásicas, verrugas genitais e infecções causadas pelo papilomavírus humano (HPV).	doentes com HIV/aids; gestantes	-	-	-
7	Meningocócica C	MENINGO C	2	FRASCO-AMPOLA DE PÓ LIOFILIZADO INJETÁVEL	Polissacarídeos capsulares purificados da Neisseria meningitidis do sorogrupo C. Tem como adjuvante o hidróxido de alumínio.	INTRAMUSCULAR	prevenção da doença sistêmica causada pela Neisseria meningitidis do sorogrupo C em crianças menores de 2 anos.	-	-	-	-
8	Vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae b (conjugada)	PENTAVALENTE	3	FRASCO	Pela combinação de toxoides purificados de difteria e tétano, suspensão celular inativada de Bordetella pertussis (células inteiras), antígeno de superfície da hepatite B (recombinante) e oligossacarídeos conjugados de Haemophilus influenzae b (conjugada). Tem como adjuvante o fosfato de alumínio e como conservante o tiomersal.	INTRAMUSCULAR	de crianças menores de 5 anos de idade como dose do esquema básico	ão deve ser administrada quando a criança apresentar quadro neurológico em atividade ou quando, após dose anterior de vacina com estes componentes, a criança registrar qualquer das seguintes manifestações: • Convulsão nas primeiras 72 horas após a administração da vacina. • Episódio hipotônico-hiporresponsivo nas primeiras 48 horas após a administração da vacina. • Encefalopatia aguda grave depois de sete dias após a administração de dose anterior da vacina. • História de choque anafilático após administração de dose anterior da vacina. • Usuários a partir de 7 anos de idade.	-	-	-
9	Pneumocócica 10 Valente	PNEUMO 10	3	FRASCO UNIDOSE	Preparada a partir de polissacarídeos capsulares bacterianos purificados do Streptococcus pneumoniae (pneumococo), com 10 sorotipos de pneumococo (1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F e 23F).	INTRAMUSCULAR	para prevenir contra infecções invasivas (sepse, meningite, pneumonia e bacteremia) e otite média aguda (OMA) causadas pelos 10 sorotipos de Streptococus pneumonia, contidos na vacina, em crianças menores de 2 anos de idade.	-	-	-	-
10	Pneumocócica 23 Valente	PN23	1	FRASCOS UNIDOSE	Suspensão de antígenos polissacarídicos purificados, não conjugados, com 23 sorotipos de pneumococo, em solução salina e conservada por fenol. Uma dose contém 25 μg de cada polissacarídeo. Os 23 tipos capsulares de pneumococos incluídos na vacina são: 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F, 33F. A vacina contém fenol e timerosal.	INTRAMUSCULAR	contra infecções invasivas pelo pneumococo na população indígena e em usuários de 60 anos e mais não vacinados que vivem acamados e/ou em instituições fechadas (como casas geriátricas, hospitais, unidades de acolhimento/asilos e casas de repouso).	para crianças menores de 2 anos de idade.	-		-
11	Rotavírus	VORH	2	UM APLICADOR	Constituída por um sorotipo do rotavírus humano atenuado da cepa (RIX4414). Apresenta como excipientes a sacarose e o adipato dissódico.	ORAL	para a prevenção de gastroenterites causadas por rotavírus dos sorotipos G1 em crianças menores de 1 ano de idade. Embora seja monovalente, a vacina oferece proteção cruzada contra outros sorotipos de rotavírus que não sejam G1 (G2, G3, G4, G9).	sua principal contraindicação é a administração fora da faixa etária sreconizada na presença de imunodepressão severa; na vigência do uso de corticosteroides em doses imunossupressoras ou quimioterápicos; ou para crianças que tenham histórico de invaginação intestinal ou com malformação congênita não corrigida do trato gastrointestinal	-	-	-
12	Vacina sarampo, caxumba, rubéola e varicela	TETRA VIRAL	1	FRASCO	Vírus vivos (atenuados) das cepas Schwarz do sarampo, RIT 4385 (derivada de Jeryl Lynn, da caxumba), RA 27/3 (do vírus da rubéola) e OKA (da varicela).	SUBCUTÂNEA	protege contra o sarampo, a caxumba, a rubéola e a varicela. É indicada para a vacinação de crianças com 15 meses de idade que já tenham recebido a primeira dose da vacina tríplice viral.	anafilaxia após dose anterior; • usuários com imunodeficiência clínica ou laboratorial grave. Precaução: os salicilitados (AAS) devem ser evitados por seis semanas após a vacinação.	Febre, cefaléia, linfoadenopatia, artralgia e urticária, rush-cutâneo	95% ou mais	-
13	Vacina sarampo, caxumba, rubéola	TRÍPLICE VIRAL	1	FRASCO	Por vírus vivos (atenuados) das cepas Wistar RA 27/3 do vírus da rubéola, Schwarz do sarampo e RIT 4385, derivada de Jeryl Lynn, da caxumba. Tem como excipientes albumina humana, lactose, sorbitol, manitol, sulfato de neomicina e aminoácidos	SUBCUTÂNEA	protege contra o sarampo, a caxumba e a rubéola. É indicada para vacinação de usuários a partir de 12 meses de idade.	registro de anafilaxia após recebimento de dose anterior; • usuários com imunodeficiência clínica ou laboratorial grave; • gestação.	Febre, cefaléia, linfoadenopatia, artralgia e urticária, rush-cutâneo	95%	-
14	Vacina Inativada Poliomielite	VIP	3	FRASCO	Contém os vírus da poliomielite dos tipos 1, 2 e 3, obtidos em cultura celular e inativados por formaldeído	INTRAMUSCULAR	a para prevenir contra a poliomielite causada por vírus dos tipos 1, 2 e 3. O PNI recomenda a vacinação de crianças a partir de 2 meses até menores de 5 anos de idade, como doses do esquema básico.	A vacina está contraindicada na ocorrência de reação anafilática após o recebimento de qualquer dose da vacina ou aos seus componentes.	-	-	-
