ID	VACINA	FAKE	RESPOSTA	FONTES
1	TODAS	vacinas não são seguras	Matematicamente, é incomparável o risco da doença selvagem com o risco da vacina. Exemplo da febre amarela, o risco de ter um evento grave pela vacina é de 1 em 1 milhão de doses, e o risco de ter um evento grave com a febre amarela selvagem é 10 em 100 casos.	https://emais.estadao.com.br/noticias/comportamento,doencas-erradicadas-podem-voltar-por-falta-de-vacinacao,70002357899
2	TODAS	reações às vacinas são prejudiciais se comparadas aos efeitos da doença em uma criança não imunizada	Algumas doenças são tão graves e não dependem das condições clínicas das crianças, não é válido o argumento de que crianças saudáveis e bem nutridas estão imunes a doenças e não precisando ser vacinadas. Existem vacinas que estimula mais rápido que o sistema imunológico	https://emais.estadao.com.br/noticias/comportamento,doencas-erradicadas-podem-voltar-por-falta-de-vacinacao,70002357899
3	TODAS	vacinas servem para esterilizar a população pobre	Todas as vacinas são testadas e suas composições estão presentes nem documentos como o manual de vacinação	http://www.saude.pr.gov.br/arquivos/File/-01VACINA/manual_procedimentos_2014.pdf
4	TODAS	não há provas de que as vacinas não provocam autismo	Estudos de segurança de vacinas são constantemente realizados e publicados e vários estudos mostram que não tem nenhuma relação entre o autismo e vacinas	https://www.aap.org/en-us/documents/immunization_vaccine_studies.pdf
5	Vacina sarampo, caxumba, rubéola	vacinas causam autismo	Estudos de segurança de vacinas são constantemente realizados e publicados e vários estudos mostram que não tem relação nenhuma entre vacinas e autismo	https://www.aap.org/en-us/documents/immunization_vaccine_studies.pdf
6	TODAS	um estudo inglês mostrou uma ligação entre vacinas e autismo.	O estudo que afirmava isso foi desmentido, e o médico pesquisador que o liderou, Andrew Wakefield, manipulou os dados. Andrew perdeu sua licença médica por essa atitude.	https://www.bbc.com/portuguese/geral-40663622
7	Vacina sarampo, caxumba, rubéola	existem provas que vacinas causam autismos	"A revista publicou uma nota de retratação por conta do artigo sobre esse tema, depois de o Conselho Geral de Medicina ter considerado que Wakefield havia sido ""desonesto"" enquanto realizava a pesquisa."	http://g1.globo.com/ciencia-e-saude/noticia/2010/05/medico-britanico-que-ligou-vacina-autismo-perde-registro-profissional.html
8	TODAS	existem muitos exemplos de crianças que desenvolvem autismo depois da vacinação	Histórias assim não tem provas para corroborar tais afirmações. Não há razão para acreditar que as vacinas tenham causado o autismo.	https://www.huffpostbrasil.com/2015/02/24/analisamos-explicamos-e-derrubamos-6-argumentos-perigosos-contr_a_21679268/
9	TODAS	não é da conta de ninguém se meu filho não é vacinado	Pais que não vacinam seus filhos, além de colocarem seus filhos em risco, podem colocar em risco a saúde de outras crianças que são pequenas demais ou não podem ser vacinadas por qualquer outro motivo. Seu filho é sua responsabilidades e não sua posse	https://www.pbs.org/wgbh/nova/article/herd-immunity/
10	TODAS	vacinas podem sobrecarregar o sistema imunológico das crianças	O calendário de vacinação é montado de maneira que não existam riscos para quem está sendo vacinado.	http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf
11	TODAS	a imunidade natural é melhor que a que vem com a vacinação	A vacina estimula o sistema imunológico para as doenças que podem matar o infectado.	http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf
12	TODAS	se não vacinar meu filho o problema é meu	Além de vc colocar a vida do seu filho em risco e prejudicar a imunização grupal, segundo a integrante da Comissão dos Direitos da Criança e do Adolescente (CDCA) da Seccional Luciana Lenceh, a recusa em vacinar os filhos é um ato de negligência e pode acabar sendo considerado um crime grave, dependendo das circunstâncias.	https://sbim.org.br/noticias/782-nao-vacinar-criancas-e-ilegal-afirmam-advogados
13	TODAS	não quero me vacinar, o problema é meu	Quem não se vacina não coloca apenas a própria saúde em risco, mas também a de seus familiares e outras pessoas com quem tem contato, além de contribuir para aumentar a circulação de doenças. Tomar vacinas é a melhor maneira de se proteger de uma variedade de doenças graves e de suas complicações, que podem até levar à morte.	https://www.pfizer.com.br/noticias/importancia-da-vacinacao
14	TODAS	um médico britânico mostrou que vacinas causam autismo	"Em 2010 o Conselho Geral de Medicina do Reino Unido julgou Wakefield (o médico britânico que afirmou que vacinas da tríplice viral causava autismo)""inapto para o exercício da profissão"", qualificando seu comportamento como ""irresponsável"", ""antiético"" e ""enganoso"". E a Lancet(a revista que Wakefield publicou e estudo mentiroso)se retratou do estudo publicado uma década antes, dizendo que suas conclusões eram ""totalmente falsas"".  em 2004 descobriu-se que antes da publicação do artigo na Lancet, em 1998, ele havia feito um pedido de patente para uma vacina contra sarampo que competiria com a MMR(tríplice viral), algo que foi visto como um conflito de interesses."	https://www.bbc.com/portuguese/geral-40663622
